_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Causative Agent - 1,Causative Agent - 2
270,Mount Sinai Hospital - 11 S,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-16,2018-02-20,N,2018,,
271,Yee Hong Centre for Geriatric Care - McNicoll Site,2311 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-02-16,2018-03-02,N,2018,,
272,Hellenic Home - Scarborough,2411 Lawrence Ave E,LTCH,Respiratory,Influenza B,Metapneumovirus,2018-02-16,2018-03-01,N,2018,,
273,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-16,2018-02-26,N,2018,,
274,Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-15,2018-02-26,N,2018,,
275,St. George Care Community,225 St George St,LTCH,Respiratory,Influenza B,,2018-02-15,2018-02-25,N,2018,,
276,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Enteric,Norovirus-like,,2018-02-15,2018-02-28,N,2018,,
277,Amica at Bayview,15 Barberry Pl,Retirement Home,Respiratory,Influenza A (H3),Influenza B,2018-02-15,2018-03-03,N,2018,,
278,The Scarborough and Rouge Hospital - General Site - CP1,3050 Lawrence Ave E,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-15,2018-02-23,N,2018,,
279,Downsview Long Term Care Centre - 2 East,3595 Keele St,LTCH,Respiratory,Influenza B,,2018-02-14,2018-02-26,N,2018,,
280,University Health Network - Toronto Rehabilitation Institute,550 University Ave - University Centre - 6 South,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-14,2018-02-25,N,2018,,
281,North York General Hospital - Reactivation Care Centre -,2111 Finch Ave W - 6 West,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-13,2018-02-23,N,2018,,
282,True Davidson Acres - 1 West Unit,200 Dawes Rd,LTCH,Respiratory,Influenza B,,2018-02-13,2018-02-22,N,2018,,
283,Centre for Addiction and Mental Health - College Site -,250 College St - EPU 10th Fl,Hospital-Psychiatric,Respiratory,Influenza B,,2018-02-13,2018-02-22,N,2018,,
284,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Influenza B,,2018-02-12,2018-02-24,N,2018,,
285,Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2018-02-12,2018-02-27,N,2018,,
286,Mon Sheong Scarborough Long Term Care Centre - 3rd Fl,2030 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),,2018-02-12,2018-03-06,N,2018,,
287,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-02-12,2018-03-01,N,2018,,
288,Beach Arms Retirement Residence,505 Kingston Rd,Retirement Home,Respiratory,Influenza B,,2018-02-12,2018-02-24,N,2018,,
289,Michael Garron Hospital - Cardiology Unit,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,,2018-02-11,2018-02-15,N,2018,,
290,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,Respiratory syncytial virus,2018-02-10,2018-02-19,N,2018,,
291,Providence Healthcare - Houses of Providence - 1 East,3276 St Clair Ave E,LTCH,Respiratory,Influenza B,,2018-02-10,2018-02-17,N,2018,,
292,Ivan Franko Home,767 Royal York Rd,LTCH,Respiratory,Influenza A (H3),,2018-02-09,2018-02-21,N,2018,,
293,Fudger House,439 Sherbourne St,LTCH,Respiratory,Influenza B,,2018-02-08,2018-02-26,N,2018,,
294,Hillcrest Reactivation Centre - 2nd Fl (Seniors),47 Austin Terr,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2018-02-08,2018-02-17,N,2018,,
295,McCall Centre for Continuing Care - 3rd Fl Rehabilitation,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-02-08,2018-02-21,N,2018,,
296,St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza B,,2018-02-07,2018-02-14,N,2018,,
297,Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Enteric,Norovirus-like,,2018-02-07,2018-02-22,N,2018,,
298,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Enteric,Clostridium difficile,Norovirus-like,2018-02-06,2018-02-20,N,2018,,
299,Chester Village - Diamond Unit - Ground Fl,3555 Danforth Ave,LTCH,Respiratory,Influenza B,,2018-02-06,2018-02-14,N,2018,,
300,The Westbury - 2nd & 6th Fl - Markland Woods,495 The West Mall,LTCH,Enteric,Norovirus-like,,2018-02-06,2018-02-26,N,2018,,
301,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza B,,2018-02-06,2018-02-28,N,2018,,
302,Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-02-06,2018-02-21,N,2018,,
303,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,,2018-02-06,2018-02-19,N,2018,,
304,Harold and Grace Baker Retirement Residence,1 Northwestern Ave,Retirement Home,Respiratory,Influenza A (H3N2),Influenza B,2018-02-06,2018-02-22,N,2018,,
305,Suomi Koti Nursing Home,795 Eglinton Ave E,LTCH,Respiratory,Influenza A and B,,2018-02-05,2018-02-16,N,2018,,
306,Rayoak Place Retirement Residence,1340 York Mills Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-02-05,2018-02-16,N,2018,,
307,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-15,N,2018,,
308,Cummer Lodge - 4 North,205 Cummer Ave,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-22,N,2018,,
309,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-22,N,2018,,
310,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-26,N,2018,,
311,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2018-02-03,2018-02-16,N,2018,,
312,St. Michael's Hospital - 7 CCV,30 Bond St,Hospital-Acute Care,Respiratory,Influenza B,,2018-02-03,2018-02-11,N,2018,,
313,The Scarborough Hospital - Birchmount - 3D,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-02-03,2018-02-11,N,2018,,
314,West Park Healthcare Centre - 3WE,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-02,2018-02-13,N,2018,,
315,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Influenza B,,2018-02-01,2018-02-17,N,2018,,
316,Chartwell Gibson Long Term Care,1925 Steeles Ave E,LTCH,Enteric,Norovirus-like,,2018-02-01,2018-02-12,N,2018,,
317,Kensington Gardens - South Building - 1 East & 2 East,25 Brunswick Ave,LTCH,Respiratory,Influenza A (H3),,2018-02-01,2018-02-16,N,2018,,
318,Westside,1145 Albion Rd,LTCH,Respiratory,Influenza B,,2018-02-01,2018-02-26,N,2018,,
319,Holland Bloorview Kids Rehabilitation Hospital - BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Influenza B,Enterovirus/Rhinovirus,2018-02-01,2018-02-26,N,2018,,
320,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-01,2018-02-11,N,2018,,
321,Shepherd Lodge,3760 Sheppard Ave E,LTCH,Respiratory,Influenza B,,2018-01-31,2018-02-21,N,2018,,
322,Harmony Hill Care Community,1800 O'Connor Dr,LTCH,Respiratory,Influenza B,,2018-01-31,2018-02-14,N,2018,,
323,Harold and Grace Baker Centre - 1st Fl,1 Northwestern Ave,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-31,2018-02-16,N,2018,,
324,Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Influenza B,,2018-01-30,2018-02-07,N,2018,,
325,The Briton House Retirement Centre - North & South Tower,"700 & 720 Mount Pleasant Rd - 6th, 7th, 8th & 9th Fl",Retirement Home,Respiratory,Unable to identify,,2018-01-30,2018-02-14,N,2018,,
326,Providence Healthcare - A5 East,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-29,2018-02-06,N,2018,,
327,Trillium Health Partners - Queensway Health Centre -,150 Sherway Dr - Complex Care Unit,Hospital-Acute Care,Enteric,Unable to identify,,2018-01-29,2018-02-05,N,2018,,
328,Providence Healthcare - Houses of Providence - HOP 4E -,3276 St Clair Ave E - Juniper House,LTCH,Respiratory,Influenza A (H3),,2018-01-27,2018-02-07,N,2018,,
329,Ivan Franko Home - 3rd Fl,767 Royal York Rd,LTCH,Respiratory,Unable to identify,,2018-01-26,2018-02-06,N,2018,,
330,Weston Gardens Retirement Residence - 5th Fl,303 Queens Dr,Retirement Home,Enteric,Unable to identify,,2018-01-26,2018-02-03,N,2018,,
331,Cedarvale Terrace - 4th Fl,429 Walmer Rd,LTCH,Respiratory,Unable to identify,,2018-01-26,2018-02-15,N,2018,,
332,Toronto General Hospital - 14 Eaton South,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza B,,2018-01-26,2018-02-02,N,2018,,
333,Chartwell Grenadier Retirement Residence,2100 Bloor St W,Retirement Home,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-25,2018-02-21,N,2018,,
334,St. Michael's Hospital  - 16CN,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-01-25,2018-02-02,N,2018,,
335,Amica at Bayview Gardens,19 Rean Dr,Retirement Home,Enteric,Unable to identify,,2018-01-24,2018-02-12,N,2018,,
336,"Fudger House - 1 East, 2 East & 2 West Units",439 Sherbourne St,LTCH,Respiratory,Unable to identify,,2018-01-24,2018-02-08,N,2018,,
337,Lakeshore Lodge - 2 North & 2 South,3197 Lake Shore Blvd W,LTCH,Enteric,Norovirus-like,,2018-01-24,2018-02-03,N,2018,,
338,Belmont House - 2WW,55 Belmont St,LTCH,Enteric,Unable to identify,,2018-01-24,2018-02-05,N,2018,,
339,"Castleview Wychwood Towers - 4th, 5th & 6th Fl",351 Christie St,LTCH,Respiratory,Influenza B,,2018-01-23,2018-02-16,N,2018,,
340,West Park Long Term Care,82 Buttonwood Ave,LTCH,Respiratory,Influenza B,,2018-01-23,2018-02-08,N,2018,,
341,Weston Terrace Care Community - 1A & 3A,2005 Lawrence Ave W,LTCH,Enteric,Unable to identify,,2018-01-22,2018-02-16,N,2018,,
342,North York General Hospital - Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,Influenza A (H3),,2018-01-22,2018-02-06,N,2018,,
343,Sunnybrook Health Science Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Respiratory syncytial virus,,2018-01-22,2018-01-31,N,2018,,
344,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza B,Coronavirus,2018-01-22,2018-02-20,N,2018,,
345,"Castleview Wychwood Towers - 2nd, 5th & 7th Fl",351 Christie St,LTCH,Enteric,Norovirus-like,,2018-01-22,2018-02-13,N,2018,,
346,Ukrainian Canadian Care Centre,60 Richview Rd,LTCH,Respiratory,Influenza B,,2018-01-22,2018-02-16,N,2018,,
347,Yee Hong Centre - Scarborough Finch,60 Scottfield Dr,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-22,2018-02-14,N,2018,,
348,Copernicus Lodge,66 Roncesvalles Ave,LTCH,Respiratory,Influenza A (Not subtyped),Influenza B,2018-01-22,2018-02-14,N,2018,,
349,Salvation Army Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-01-22,2018-02-02,N,2018,,
350,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-22,2018-02-01,N,2018,,
351,Kingsway Retirement Home - Memory Care Fl,4251 Dundas St W,Retirement Home,Respiratory,Influenza A (H3),,2018-01-22,2018-01-31,N,2018,,
352,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-22,2018-02-06,N,2018,,
353,Extendicare Guildwood - East Wing,60 Guildwood Pky,LTCH,Respiratory,Unable to identify,,2018-01-21,2018-02-12,N,2018,,
354,Seaton House - 4th Fl,339 George St,Shelter,Respiratory,Influenza A (H3),,2018-01-21,2018-02-12,N,2018,,
355,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-3,Hospital-Psychiatric,Respiratory,Influenza A ((H1N1)pdm09),,2018-01-21,2018-01-29,N,2018,,
356,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza B,Parainfluenza type 1,2018-01-21,2018-02-07,N,2018,,
357,Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Enteric,Norovirus-like,,2018-01-20,2018-02-14,N,2018,,
358,Extendicare Rouge Valley - Highland Creek House,551 Conlins Rd,LTCH,Respiratory,Unable to identify,,2018-01-20,2018-01-29,N,2018,,
359,Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Influenza A (H3),,2018-01-20,2018-01-31,N,2018,,
360,Sagecare,147 Elder St,Retirement Home,Respiratory,Influenza B,,2018-01-19,2018-01-29,N,2018,,
361,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Influenza B,,2018-01-19,2018-02-04,N,2018,,
362,Vermont Square - 6th Fl,914 Bathurst St,LTCH,Respiratory,Influenza A (H3N2),Respiratory syncytial virus,2018-01-19,2018-02-07,N,2018,,
363,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-18,2018-02-13,N,2018,,
364,Centre for Addiction and Mental Health - Unit 1-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (Not subtyped),,2018-01-18,2018-01-29,N,2018,,
365,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2018-01-17,2018-02-05,N,2018,,
366,Carefree Lodge - 1st Fl,306 Finch Ave E,LTCH,Respiratory,Influenza B,,2018-01-17,2018-01-25,N,2018,,
367,Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-17,2018-01-30,N,2018,,
368,West Park Healthcare Centre - 3EB,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),Influenza B,2018-01-17,2018-01-23,N,2018,,
369,The Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-16,2018-01-24,N,2018,,
370,Deerwood Creek Care Community - 2B & 3A,70 Humberline Dr,LTCH,Respiratory,Unable to identify,,2018-01-16,2018-02-12,N,2018,,
371,Mackenzie Health - RCC 4E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2018-01-16,2018-01-25,N,2018,,
372,McCall Centre for Continuing Care - Interim LTC Unit,140 Sherway Dr - 2nd & 4th Fl,LTCH,Respiratory,Influenza B,,2018-01-16,2018-01-31,N,2018,,
373,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Influenza A (H3),,2018-01-16,2018-02-05,N,2018,,
374,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Influenza A (H3N2),,2018-01-16,2018-01-29,N,2018,,
375,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza B,,2018-01-16,2018-01-31,N,2018,,
376,Providence Healthcare - A4 East,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2018-01-16,2018-01-27,N,2018,,
377,Westside,1145 Albion Rd,LTCH,Enteric,Unable to identify,,2018-01-16,2018-02-07,N,2018,,
378,"Fieldstone Commons - 1A, 3A & 4A",1000 Ellesmere Rd,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-15,2018-01-25,N,2018,,
379,Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Influenza A (H3),,2018-01-15,2018-01-30,N,2018,,
380,Providence Healthcare - Houses of Providence - HOP 4E Sumac,3276 St Clair Ave E,LTCH,Respiratory,Influenza A (H3),,2018-01-15,2018-01-27,N,2018,,
381,Cummer Lodge - Grd Fl,205 Cummer Ave,LTCH,Respiratory,Unable to identify,,2018-01-15,2018-01-25,N,2018,,
382,Valleyview Residence,541 Finch Ave W,LTCH,Respiratory,Influenza B,,2018-01-15,2018-02-07,N,2018,,
383,Bendale Acres Nursing Home,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2018-01-15,2018-02-02,N,2018,,
384,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,2018-01-15,2018-01-22,N,2018,,
385,Scarborough and Rouge Hospital - Birchmount Site - 4A,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-01-13,2018-01-23,N,2018,,
386,Chartwell White Eagle Long Term Care Residence,138 Dowling Ave,LTCH,Respiratory,Influenza A (H3),,2018-01-13,2018-01-28,N,2018,,
387,Villa Colombo - 2 Fusco,40 Playfair Ave,LTCH,Enteric,Norovirus-like,,2018-01-13,2018-01-28,N,2018,,
388,Kipling Acres,2233 Kipling Ave,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-12,2018-02-16,N,2018,,
389,Salvation Army Toronto Grace Health Centre - Rehab Unit -,650 Church St - 5th Fl,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-12,2018-01-20,N,2018,,
390,Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Respiratory,Influenza B,,2018-01-12,2018-01-20,N,2018,,
391,Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Respiratory,Metapneumovirus,,2018-01-11,2018-01-22,N,2018,,
392,Amica at the Balmoral Club,155 Balmoral Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-01-11,2018-01-25,N,2018,,
393,Village of Humber Heights Retirement Home - 2nd Fl - Egerton,2245 Lawrence Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-11,2018-01-29,N,2018,,
394,St. Joseph's Healthcare Centre - 4M Medicine/Telemetry,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3N2),Respiratory syncytial virus,2018-01-11,2018-01-31,N,2018,,
395,Villa Colombo,40 Playfair Ave,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-11,2018-01-23,N,2018,,
396,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),,2018-01-11,2018-01-18,N,2018,,
397,Lakeshore Lodge - 2 North,3197 Lake Shore Blvd W,LTCH,Respiratory,Respiratory syncytial virus,,2018-01-10,2018-01-22,N,2018,,
398,Scarborough and Rouge Hopsital - General Site - Tower 7,3050 Lawrence Ave E,Hospital-Acute Care,Enteric,Norovirus-like,,2018-01-10,2018-01-19,N,2018,,
399,Forest Hill Place,645 Castlefield Ave,Retirement Home,Enteric,Norovirus-like,,2018-01-10,2018-01-25,N,2018,,
400,Weston Terrace Care Community,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2018-01-09,2018-01-24,N,2018,,
401,Chartwell Gibson Long Term Care Residence,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (H3),"Influenza B,Respiratory syncytial virus",2018-01-09,2018-02-06,N,2018,,
402,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza B,,2018-01-09,2018-01-22,N,2018,,
403,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-09,2018-01-30,N,2018,,
404,Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Enteric,Norovirus-like,,2018-01-08,2018-01-16,N,2018,,
405,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-08,2018-01-23,N,2018,,
406,Rose of Sharon Long Term Care Home,17 Maplewood Ave,LTCH,Respiratory,Influenza B,,2018-01-08,2018-01-22,N,2018,,
407,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Influenza B,,2018-01-08,2018-01-23,N,2018,,
408,Hellenic Home - Scarborough  - Unit 3B,2411 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2018-01-08,2018-02-05,N,2018,,
409,McCowan Retirement Residence,2881 Eglinton Ave E,Retirement Home,Respiratory,Influenza B,,2018-01-08,2018-01-19,N,2018,,
410,Copernicus Lodge Independent Living,66 Roncesvalles Ave,Retirement Home,Enteric,Unable to identify,,2018-01-08,2018-02-04,N,2018,,
411,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-08,2018-01-20,N,2018,,
412,The Millwood,921 Millwood Rd,Retirement Home,Respiratory,Influenza B,,2018-01-08,2018-01-22,N,2018,,
413,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Influenza A (H3),,2018-01-08,2018-01-18,N,2018,,
414,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Enteric,Norovirus-like,,2018-01-07,2018-01-12,N,2018,,
415,Bridgepoint Active Healthcare - 3N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-01-06,2018-01-12,N,2018,,
416,Better Living at Thompson House - 4th Fl,1 Overland Dr,LTCH,Respiratory,Unable to identify,,2018-01-06,2018-01-22,N,2018,,
417,Carefirst Transitional Care Centre,300 Silver Star Blvd,Retirement Home,Respiratory,Unable to identify,,2018-01-05,2018-01-19,N,2018,,
418,The Annex,123 Spadina Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-01-05,2018-01-16,N,2018,,
419,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2018-01-05,2018-02-02,N,2018,,
420,Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Enteric,Unable to identify,,2018-01-05,2018-01-19,N,2018,,
421,Downsview Long Term Care Centre,3595 Keele St,LTCH,Respiratory,Influenza A (H3),"Influenza B, Metapneumovirus",2018-01-05,2018-01-31,N,2018,,
422,Moll Berczy Haus - 4th Fl,1020 McNicoll Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-01-04,2018-01-18,N,2018,,
423,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-04,2018-01-26,N,2018,,
424,Sunnybrook Health Sciences Centre - C4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2018-01-04,2018-01-12,N,2018,,
425,Kensington Gardens South - 1 West & 2 West,25 Brunswick Ave,LTCH,Respiratory,Influenza B,,2018-01-04,2018-01-19,N,2018,,
426,The Teddington Retirement Residence,4 Teddington Park Ave,Retirement Home,Respiratory,Influenza B,,2018-01-04,2018-01-19,N,2018,,
427,Shepherd Lodge,3760 Sheppard Ave E,LTCH,Respiratory,"Influenza A (H3), Parainfluenza type 1",Respiratory syncytial virus,2018-01-03,2018-01-29,N,2018,,
428,Chester Village - 2nd Fl East & 4th Fl (East &west),3555 Danforth Ave,LTCH,Respiratory,Influenza A (H3),,2018-01-03,2018-01-15,N,2018,,
